sex,rings,length_mm,diameter_mm,height_mm,whole_weight_g,shucked_weight_g,viscera_weight_g,shell_weight_g
M,6,100,78,25,104.3,49.7,23.400000000000002,26.200000000000003
F,7,101,78,25,108.89999999999999,49.2,30,28.1
I,8,102,81,25,135.9,69.3,27.900000000000002,36.4
F,6,102,80,25,109.00000000000001,52.2,23,27.700000000000003
I,9,102,80,25,111.5,52.300000000000004,23.9,30.5
I,8,102,76,23,103.1,43,22.7,33.2
I,8,103,77,25,122.30000000000001,63.5,25.3,30
M,9,104,80,28.999999999999996,155.29999999999998,70.5,36.9,37
I,8,104,76,27,107.89999999999999,45.9,26.6,31.4
I,8,104,76,25,110.9,57.599999999999994,25.900000000000002,33.4
F,7,104,92,30,203.79999999999998,104.60000000000001,39.7,50.8
I,8,105,80,26,129.1,65,24.9,34
I,9,105,80,28.000000000000004,120.19999999999999,52.5,25.7,36.7
M,9,105,81,24,151.1,75.1,31.1,40.2
I,8,105,79,24,121.6,59.4,27.900000000000002,28.1
I,8,106,80,25,123.4,55.800000000000004,25.4,38
I,9,107,78,25,119.8,51.9,29.799999999999997,33.800000000000004
I,10,108,84,28.000000000000004,133.29999999999998,62.5,27.6,37.9
M,7,109.00000000000001,78,27,156.7,84.5,36.3,31.2
M,9,109.00000000000001,82,24,158.6,86.8,28.1,38
M,9,109.00000000000001,83,28.000000000000004,164,92.30000000000001,25.4,43.6
F,8,110.00000000000001,83,27,162.9,85.39999999999999,37.1,35
F,8,110.00000000000001,86,30,168,79,39,44.6
M,10,110.00000000000001,85,30,166.3,82.19999999999999,35.3,43.3
M,9,112.00000000000001,86,28.999999999999996,179.9,92.80000000000001,35.5,46.800000000000004
M,8,112.00000000000001,89,32,179.29999999999998,84,43.5,44.3
F,8,112.00000000000001,88,31,128.1,67.2,35.3,49
M,8,112.00000000000001,83,28.999999999999996,170.4,86,37.7,41
M,9,112.99999999999999,91,30,191.9,91.3,47.9,46
M,8,112.99999999999999,87,30,198,115.9,36.5,41.199999999999996
F,9,112.99999999999999,90,35,201.9,89.4,47.5,52.900000000000006
M,9,113.99999999999999,92,30,207.50000000000003,108.3,40.699999999999996,50
F,8,113.99999999999999,89,28.999999999999996,175.5,82.39999999999999,43.4,44
I,8,113.99999999999999,88,30,151,68.5,32,44.800000000000004
F,7,114.99999999999999,92,28.999999999999996,198.9,93.2,45.800000000000004,53
F,10,114.99999999999999,90,32,213.60000000000002,111.20000000000002,42.8,51.5
M,9,114.99999999999999,87,28.000000000000004,169.1,80.2,38.2,44.4
F,9,114.99999999999999,94,33,173.8,87,39.4,47.599999999999994
M,9,114.99999999999999,91,27,181.4,84.89999999999999,39.4,52
I,10,114.99999999999999,87,26,161,63.1,43.1,49
M,9,114.99999999999999,89,34,204.5,109.80000000000001,43.5,45.6
M,9,114.99999999999999,89,28.999999999999996,169.4,83,38.9,44
M,8,115.99999999999999,91,30,222.8,95.3,43.1,53
M,9,115.99999999999999,91,39,371.8,189,85.2,88.2
M,9,115.99999999999999,89,27,162.79999999999998,75.5,38.3,44
M,9,115.99999999999999,90,28.000000000000004,192.3,97.2,36.3,50.6
M,8,115.99999999999999,90,28.999999999999996,200.5,109.4,39.5,45.9
F,9,115.99999999999999,90,31,186,77,49.2,53
M,9,117,92,28.999999999999996,186.7,95.6,36.5,47
M,7,117,93,32,191.1,91.9,47.199999999999996,53
M,8,118,94,30,199.10000000000002,96.2,46.400000000000006,48
F,9,120,95,32,205.29999999999998,97,49.9,51.300000000000004
M,8,120,91,34,238.3,139.2,47.9,48
F,8,120,93,30,220.5,109.1,52.400000000000006,50
M,10,120,93,31,203.29999999999998,102.4,49.3,45
F,9,121,94,33,235.5,122.2,45.5,58.4
M,9,121,95,28.000000000000004,223.5,111.00000000000001,51.4,54.800000000000004
M,10,121,96,34,236.7,116.39999999999999,47.3,63.4
F,9,121,95,33,211.20000000000002,86.6,43.9,71.39999999999999
M,8,122,97,32,202.89999999999998,106.3,42.4,48.3
M,9,122,97,28.999999999999996,266.1,156.6,45.1,57.3
M,9,122,94,33,210.4,99.6,48.4,53.400000000000006
M,10,123,92,34,211.3,96.3,54.400000000000006,54
F,9,123,93,30,184.60000000000002,92.30000000000001,36.5,48.3
F,9,123,95,31,205.39999999999998,89.4,50,56.99999999999999
M,8,124,94,27,203.9,106.3,40.1,49.5
M,8,124,90,40,171.6,85.7,30.5,48.1
F,8,124,96,32,222.5,112.7,48.9,56.2
F,9,125,97,35,274.90000000000003,146.70000000000002,54.300000000000004,66.4
M,8,125,96,37,241.29999999999998,117.39999999999999,57.99999999999999,57.199999999999996
M,8,126,94,31,226.5,117.8,42.199999999999996,57.4
M,10,126,100,35,252.89999999999998,112.7,61.3,68.5
F,9,127,99,3,231.3,102.3,61.6,57.699999999999996
M,10,128,103,33,273.8,126.4,68.30000000000001,71.6
M,10,129,106,39,278,129.29999999999998,58.9,74.7
F,10,129,96,34,226.9,105.60000000000001,50.8,61
F,9,130,100,38,292.8,128.29999999999998,67.80000000000001,84.89999999999999
M,11,130,100,31,240.39999999999998,112.99999999999999,62.7,58.8
M,11,131,103,32,262,110.60000000000001,73.8,69
F,10,131,102,35,283,117.7,74.5,72.8
F,11,132,106,37,269.20000000000005,109.2,54.1,95.19999999999999
M,8,133,105,32,272.6,125.8,55.800000000000004,68
I,9,133,100,34,259.5,120.7,58.199999999999996,71.89999999999999
F,9,134,101,41,272.90000000000003,121.50000000000001,60.5,70.6
F,14,137,108,43,340.5,132.8,73.1,94.69999999999999
M,10,137,104,33,303.79999999999995,139.79999999999998,73.7,80
F,9,138,108,31,290.8,124.8,62.1,78
M,12,138,106,42,316.59999999999997,147.10000000000002,81,77.3
F,9,138,106,34,310.70000000000005,158.9,69.69999999999999,73.9
M,10,139,112.00000000000001,37,348,177,74.3,87.5
M,9,140,112.99999999999999,36,350.2,179,67.10000000000001,89.2
M,12,140,114.99999999999999,38,454.6,219,83.6,127.60000000000001
F,9,140,105,38,329.3,170.9,61.4,79.9
F,9,141,110.00000000000001,34,243.8,127.89999999999999,47.199999999999996,60.199999999999996
F,11,142,112.00000000000001,36,330.4,147,76.2,90.5
M,12,143,110.00000000000001,38,400.90000000000003,209.3,81.39999999999999,101.49999999999999
M,10,143,107,38,335.1,177.8,62.6,84
F,10,144,115.99999999999999,39,420.6,205.29999999999998,96,107.5
F,10,144,110.00000000000001,40,399.3,180.7,93.8,104.3
M,8,144,112.99999999999999,28.999999999999996,237.4,138.2,38.9,53.7
M,12,145,101,37,395.6,205.20000000000002,85.1,90.10000000000001
F,12,146,114.99999999999999,37,375.9,186.20000000000002,76,96.5
M,11,147,117,37,424.8,190.39999999999998,110.00000000000001,100
M,11,149,112.99999999999999,43,386.2,179.20000000000002,91.7,100
F,11,150,113.99999999999999,42,447.20000000000005,221.8,103.89999999999999,109.00000000000001
F,11,151,125,42,501,239.29999999999998,102.60000000000001,135.7
M,10,151,115.99999999999999,41,401.3,165.9,80.30000000000001,119
F,11,156,126,43,531.4,297.6,99.7,117.19999999999999
I,6,37,75,24,92.9,39.2,20.9,30
I,4,49,41,12,15.299999999999999,6.800000000000001,2.8000000000000003,4.3
I,5,50,37,13,13.700000000000001,5.8999999999999995,2.8000000000000003,4.5
I,5,50,38,13,16.7,7.8,3,5
I,6,55.00000000000001,39,18,22.5,10.9,5.8999999999999995,7.1
I,5,61,43,13,21.5,8.799999999999999,4.1000000000000005,7.6
I,5,62,45,14.000000000000002,21.099999999999998,87,3,8
I,5,63,46,16,27.500000000000004,10.9,6.2,8.9
I,5,63,46,14.000000000000002,22.900000000000002,9.2,4.7,7.7
I,6,65,45,15,27.800000000000004,11.3,6.4,18
I,7,66,50,19,41.699999999999996,20.4,7.9,10.4
I,5,66,41,19,31.900000000000002,15.4,6.4,8.7
I,7,67,49,18,40.300000000000004,19.2,8.1,9.6
I,6,68,50,18,35.8,15.5,6.6000000000000005,11
I,6,69,51,19,38.9,18.5,7.3999999999999995,11
I,5,69,51,17,40.1,21,7.3999999999999995,10
I,6,70,54,15,43,20,7.199999999999999,13
I,8,70,51,18,35.699999999999996,17.1,6.1,10.5
I,4,72,54,17,39.2,17.5,7.000000000000001,12.8
I,6,73,54,17,37.5,16.2,8.4,11.600000000000001
I,7,73,54,17,39.2,16.5,7.5,12
I,7,73,53,17,42.6,18.9,9.8,12
I,7,74,57.99999999999999,18,48.9,17.8,13.100000000000001,15
I,6,74,56.00000000000001,17,43.4,21.9,7.000000000000001,12.4
I,5,75,57.99999999999999,19,42.6,19.2,8.200000000000001,12.2
I,7,75,57.99999999999999,17,47.699999999999996,23.599999999999998,9,13.900000000000002
I,6,75,55.00000000000001,18,43.6,18.6,8.1,15.1
I,6,75,55.00000000000001,19,49.3,22,8.3,15.5
I,8,75,56.00000000000001,16,40.5,16.5,9.6,13
I,7,75,54,17,43.6,18.9,7.8,14.000000000000002
I,6,76,55.00000000000001,22,51.2,22,10.7,15.1
I,8,76,54,16,42.1,17.299999999999997,8.4,14.000000000000002
I,9,77,57.99999999999999,18,52.300000000000004,22.2,11.899999999999999,14.899999999999999
I,8,77,56.00000000000001,17,43.5,19.400000000000002,7.6,13.4
I,7,77,60,19,60.4,30.4,12.3,14.7
I,5,77,56.00000000000001,18,45.6,20.5,8.4,13.100000000000001
I,7,78,60,19,65.3,33.300000000000004,11.5,17.8
I,8,79,61,21,56.8,22.7,11.899999999999999,18.9
I,8,79,59,19,54.50000000000001,23,12.5,17
I,5,79,54,20,59.699999999999996,28.9,12.2,16.400000000000002
I,5,80,57.99999999999999,20,53.5,24.099999999999998,12.1,15.299999999999999
I,6,81,56.99999999999999,18,52.900000000000006,25.3,10.100000000000001,15
I,7,82,67,22,66,31.4,14.099999999999998,34
I,6,84,61,18,65.60000000000001,33.6,12.3,16.400000000000002
I,7,85,65,22,66.7,34.599999999999994,9,20
I,7,85,64,20,61.1,25.2,12,21.2
I,7,85,62,18,60.199999999999996,27.700000000000003,13,16
I,8,86,68,0,85.6,41.3,17.2,23
I,8,86,63,19,75.6,35,16,20.9
I,7,87,63,22,73.7,32.300000000000004,14.299999999999999,24
I,9,88,68,24,87.6,42.3,16.6,24
I,9,90,66,21,89.60000000000001,41.6,17.8,24
I,8,91,69,21,80.10000000000001,32.800000000000004,15.1,25.2
F,8,91,73,23,86.1,36.8,21.6,24.9
I,8,91,66,20,74.4,71.6,15.5,22
I,7,92,72,21,93.2,44.5,19.8,22
I,9,92,70,21,74.1,31.5,15.4,22.8
F,8,92,73,25,95.7,41.199999999999996,20.9,28.199999999999996
I,11,93,68,22,69.19999999999999,28.499999999999996,14.6,22.6
I,8,94,73,20,82.19999999999999,35,17.1,27
I,8,94,71,36,96,41.099999999999994,21,30.099999999999998
I,8,94,71,24,78.60000000000001,33.4,17.7,23
I,8,95,71,20,100.69999999999999,50.7,18.2,28.000000000000004
I,8,95,76,24,88.2,35.699999999999996,17.7,30.099999999999998
I,8,95,72,22,98.4,42.199999999999996,22,30
I,9,96,74,25,108.7,48.8,20.200000000000003,33
I,8,96,71,23,94.5,41.3,22.400000000000002,26.400000000000002
I,8,96,73,20,92.2,44.1,16.7,27
I,8,99,71,24,99.3,42.8,20.9,29.9
I,7,99,76,26,102.49999999999999,43.7,23.200000000000003,32
M,8,99,79,24,110.60000000000001,44.800000000000004,27.500000000000004,33.4
I,9,100,76,27,118.8,58.9,20.8,31.3
M,9,100,84,27,135.3,60.4,28.299999999999997,41.3
I,9,100,75,28.999999999999996,115.9,47.8,27.500000000000004,37
I,9,100,82,28.000000000000004,132.29999999999998,51.7,32.5,39.2
I,7,100,75,25,113.9,51.800000000000004,24.8,31.4
I,9,100,79,28.000000000000004,124.30000000000001,58.5,24.099999999999998,39
I,8,101,81,26,120.30000000000001,60.3,22,36
I,7,101,76,24,118.8,51.9,28.7,36
I,8,101,79,21,110.2,49.6,20.599999999999998,34.2
I,7,103,76,24,125,65.3,25.900000000000002,32
I,13,103,84,27,142.2,67.4,28.799999999999997,41
I,9,103,80,27,139.3,64,25.1,35
I,10,104,80,26,116.5,46.6,27.3,36
I,9,104,79,25,132.6,60.099999999999994,26.200000000000003,38.1
I,9,105,80,25,139.3,73.8,27.700000000000003,32.800000000000004
M,9,105,84,31,168.4,85.6,28.299999999999997,40.9
I,9,106,83,26,138.79999999999998,78.10000000000001,22.2,33.4
I,10,106,84,31,162,94.5,22.2,38.4
I,9,106,83,22,114.9,50.5,24.7,37.8
I,9,106,85,26,153.5,83.8,24.099999999999998,42
I,9,107,80,27,120.5,57.9,24.2,30.8
I,8,107,83,30,115.3,71.89999999999999,27,45
F,9,107,82,26,142.9,67,28.799999999999997,41.5
M,9,107,87,30,143.4,69.5,28.9,38.800000000000004
F,10,108,84,28.999999999999996,173.10000000000002,86.3,32.6,43.5
I,9,108,84,28.000000000000004,145.3,64.1,28.9,45.800000000000004
I,8,109.00000000000001,87,27,154.29999999999998,74.4,29.599999999999998,45.4
F,9,109.00000000000001,89,30,160,70.7,32.6,41.4
I,10,109.00000000000001,86,30,145.70000000000002,60.4,26.3,50.9
I,8,109.00000000000001,81,27,118.9,54,23.7,37
I,11,110.00000000000001,86,28.999999999999996,157.9,74.9,34.2,44.6
F,9,110.00000000000001,81,25,130.20000000000002,59.3,27.400000000000002,40
M,9,110.00000000000001,86,30,174.9,82.6,38.1,49.6
I,10,110.00000000000001,87,28.000000000000004,150.7,65.7,31.1,46.5
I,9,110.00000000000001,85,27,146.1,66.5,30.9,43
M,9,111.00000000000001,88,28.000000000000004,174.10000000000002,81.39999999999999,31.2,51
I,10,111.00000000000001,86,31,147.9,62.7,28.7,56.00000000000001
I,9,111.00000000000001,86,28.000000000000004,153.29999999999998,68.2,33,46
I,9,111.00000000000001,85,28.999999999999996,158.1,69.69999999999999,35.3,45
I,9,112.00000000000001,85,27,164.1,74.3,37,47.199999999999996
I,9,112.00000000000001,85,28.999999999999996,137.6,61.9,26.1,43.3
F,10,112.00000000000001,89,31,244.79999999999998,111.3,64.5,53.900000000000006
I,9,112.00000000000001,91,28.999999999999996,194.79999999999998,109.4,32.300000000000004,47
I,11,112.99999999999999,88,35,174.70000000000002,82.8,42,42
F,8,112.99999999999999,90,28.999999999999996,169.9,84.3,33.7,45
M,8,112.99999999999999,89,30,159.20000000000002,72.7,36.8,43.8
M,11,112.99999999999999,78,25,148.8,70.39999999999999,26,33.7
I,10,113.99999999999999,90,28.999999999999996,150.2,56.49999999999999,43.9,44.3
I,8,113.99999999999999,90,27,158.8,76.3,28.299999999999997,49
F,9,113.99999999999999,92,27,195.9,79.4,50.5,53.1
M,10,113.99999999999999,87,34,174.6,76.4,36.6,54.1
I,10,113.99999999999999,88,26,153.29999999999998,69.39999999999999,35.699999999999996,40.400000000000006
M,9,113.99999999999999,87,25,179.29999999999998,76.6,36.7,55.00000000000001
F,10,114.99999999999999,84,27,171.4,92.2,29.4,42.5
F,9,114.99999999999999,96,33,215.60000000000002,102.2,41.9,61.199999999999996
M,10,114.99999999999999,92,31,178.4,88.3,35.199999999999996,44
M,10,115.99999999999999,92,31,287.9,134.3,54.6,59.099999999999994
M,10,115.99999999999999,91,27,159.1,81,33.4,40.8
F,8,115.99999999999999,89,30,171.6,80,31.2,50.6
M,9,117,93,31,182.9,91.10000000000001,39.300000000000004,47
M,10,117,98,37,234.20000000000002,104.4,50.7,67
I,10,117,95,32,210.1,96,46.800000000000004,56.99999999999999
M,10,117,92,33,222.7,116.5,46.9,54.800000000000004
M,10,117,94,33,281.8,160,45.800000000000004,59
M,10,117,95,30,213,106.3,39.800000000000004,57.699999999999996
M,8,117,90,36,159.9,67.2,37.1,47.4
I,9,118,89,27,154.29999999999998,65.60000000000001,34.9,46
M,9,118,94,36,237.4,119.7,45.4,62
M,10,118,91,31,177.1,77.60000000000001,37.6,55.00000000000001
F,10,119,93,30,196,82.3,39.2,45.1
F,12,119,93,31,205.20000000000002,92.9,22.400000000000002,61
M,10,120,95,34,226.29999999999998,101.6,54.400000000000006,61.8
M,11,120,96,31,202.8,90.2,37.7,65
I,10,120,95,30,224.00000000000003,112.99999999999999,49.3,54
F,11,120,93,31,208,95.1,50,56.00000000000001
F,10,120,91,28.999999999999996,177.89999999999998,83.8,34.300000000000004,53.800000000000004
M,11,120,92,31,191.9,89.1,37.8,59
I,11,121,97,30,247.6,126.29999999999998,45.2,66
M,10,121,98,28.000000000000004,195.1,83.8,41.199999999999996,63
I,11,121,87,26,180.5,86.4,34.8,52
F,9,121,95,35,215.20000000000002,92.60000000000001,43.9,67
F,12,121,94,32,216.7,108.1,44.3,55.00000000000001
M,10,122,90,30,174.2,81.39999999999999,36.7,50
M,12,122,96,33,248.8,126.89999999999999,51.4,61
M,10,122,95,34,205.29999999999998,87,46.7,60.699999999999996
I,9,122,93,30,192.1,89.9,34.5,57.199999999999996
M,10,122,96,34,227.4,91.3,57.99999999999999,69.39999999999999
M,10,122,92,32,200,98.8,39.4,55.00000000000001
F,10,123,95,31,200.8,89.5,38.6,57.9
M,10,123,94,33,225.59999999999997,89.3,43.9,68
M,10,123,100,34,210.8,96.89999999999999,45.6,59
F,12,123,95,33,204.6,98.1,39.1,60.699999999999996
M,10,123,95,34,225.8,95.89999999999999,60.4,60
M,9,123,96,35,223.60000000000002,89.2,63.9,60
F,10,123,95,31,223,96.8,42.3,71
M,10,124,102,35,256.3,114.3,47.699999999999996,78
M,12,124,99,36,251.10000000000002,115.3,50.8,71
F,10,124,100,30,258.59999999999997,119.19999999999999,62.7,70.8
F,10,124,95,32,225.89999999999998,92.60000000000001,53.7,66
M,9,125,91,34,216.4,99.1,46.9,63
F,11,125,101,35,229.99999999999997,109.5,51.2,60.9
F,9,125,103,32,252.8,114.3,65.2,64.2
F,12,125,96,31,240.7,117.30000000000001,47.8,63.7
F,9,126,97,34,264.1,118.9,69,69
I,11,126,101,36,254.4,120.5,59,63
M,12,126,97,28.999999999999996,212.4,101.29999999999998,35.699999999999996,67.30000000000001
I,10,126,95,28.999999999999996,212.1,103.3,43.9,56.00000000000001
M,12,126,99,32,218.6,99.4,44.2,63
M,10,127,98,32,220.2,106.80000000000001,37.3,69.1
F,9,127,100,33,291.9,141,52.900000000000006,78
F,9,127,99,35,242.20000000000002,141.4,54.50000000000001,64.60000000000001
M,10,127,95,34,238.7,104.1,53.900000000000006,73.3
M,10,127,102,31,197.2,81,45.1,62
M,15,128,112.99999999999999,46,304.2,128.8,74.4,81.2
M,10,128,105,36,262.7,97.3,59.9,81.5
M,11,129,102,32,236.7,111.20000000000002,47.699999999999996,69
M,10,129,100,39,280.2,123.30000000000001,70.3,74.5
M,11,129,105,32,301.5,149.10000000000002,49,86.5
F,11,130,101,33,231.99999999999997,95.7,54.800000000000004,69.8
F,11,130,118,44,332.4,154,75.6,87
M,11,130,105,35,307.3,137.3,71.7,81
M,9,130,102,38,308.40000000000003,143.1,74.7,75
F,10,130,102,34,313.4,144.9,69.8,78.2
F,10,131,105,38,271.9,112.79999999999998,64.3,79.7
M,13,131,107,41,328.90000000000003,146.1,71.89999999999999,92
F,10,131,104,38,290.9,120,77.3,76.6
M,10,131,98,35,271.7,127.89999999999999,58.8,73
F,10,132,99,42,309.6,144.79999999999998,70.5,78.5
F,10,132,103,34,267.4,123,62.5,71.5
F,10,133,106,36,298.20000000000005,126.89999999999999,68.4,87
F,11,134,106,45,312.3,126,97.39999999999999,74.5
F,10,134,101,35,202.89999999999998,87.5,54.2,74.9
M,13,135,109.00000000000001,37,347.5,175.2,62.7,93.8
M,9,137,109.00000000000001,41,358.5,162.9,83.2,92.2
F,11,139,112.99999999999999,38,352.7,149.3,79.80000000000001,99.5
F,12,140,109.00000000000001,26,311.2,134.5,74.8,39
M,10,141,112.99999999999999,103,442,221.5,97.3,102.4
M,11,141,111.00000000000001,43,428.2,209.3,76.6,105.60000000000001
F,12,141,113.99999999999999,36,306.9,192,83.89999999999999,86
F,11,142,110.00000000000001,34,322.8,148.6,69,90
F,13,144,114.99999999999999,34,386.7,182.6,77.8,102
M,12,144,114.99999999999999,43,434.6,190.3,112.79999999999998,107.3
F,11,145,120,40,347.40000000000003,139.39999999999998,71.7,119
F,11,146,115.99999999999999,38,347.5,135.7,86.9,104
F,12,147,112.99999999999999,41,425.5,189.79999999999998,92,112.99999999999999
F,9,149,113.99999999999999,43,450,231.3,89.2,111.60000000000001
F,14,150,122,47,501.70000000000005,246.4,103.8,122.39999999999999
F,14,163,130,50,451,178.1,84,159.5
I,3,28.000000000000004,21,7.000000000000001,2.8000000000000003,1.0999999999999999,0.5,0.8
I,4,46,33,12,10.299999999999999,3.8,2.9000000000000004,7.199999999999999
I,7,73,53,27,44.3,21,9.4,12.1
I,5,73,51,16,39.7,15.7,6.9,10.6
I,6,74,54,19,46.400000000000006,26.5,8.200000000000001,12.3
I,7,75,56.00000000000001,17,63.1,37.4,9.2,13.4
I,5,77,60,18,49.4,24.5,8.799999999999999,13.5
I,5,79,59,18,60.5,28.599999999999998,13.3,15.299999999999999
I,6,80,57.99999999999999,22,65.8,37.6,9.1,16.5
I,7,80,60,18,56.3,23.7,12.2,16
I,8,81,62,19,68.5,35.699999999999996,12.8,17.1
I,7,81,57.99999999999999,18,56.49999999999999,22.400000000000002,15,16.3
I,6,81,60,21,60.8,29.099999999999998,12.2,16.1
I,5,82,64,19,58.099999999999994,28.199999999999996,12.6,14.6
M,9,83,63,23,77.9,40.300000000000004,13,20.599999999999998
I,6,85,68,21,77.8,40.300000000000004,18.099999999999998,17.599999999999998
I,6,86,68,21,88.1,47.699999999999996,14.899999999999999,21.5
I,5,88,68,21,73.8,32.800000000000004,16,20.3
M,8,88,64,24,91.3,48.699999999999996,18.4,20.5
I,9,88,73,22,89.3,42.6,17.8,22.7
M,6,90,67,25,89.5,43.3,25.2,22
I,7,91,67,27,100.2,54.800000000000004,19.900000000000002,21.3
I,8,92,71,22,87.2,39.5,19.2,25
I,9,94,69,28.000000000000004,92.30000000000001,45.800000000000004,22.1,23.200000000000003
I,6,94,70,25,86.3,38,23.3,23.5
I,6,94,71,24,73.7,25.2,16.7,27.3
M,8,95,74,25,129.8,69.39999999999999,27.200000000000003,28.4
I,7,95,73,23,91.8,43.5,18.6,23.3
F,7,95,73,23,113.19999999999999,56.2,23.400000000000002,26.700000000000003
I,7,96,72,25,108.4,55.900000000000006,20.5,29.4
I,6,97,76,24,94.5,41.5,21.5,29.4
M,8,97,78,17,128.7,58.9,20.599999999999998,39.6
M,6,97,74,26,105.2,49.7,21,31.1
F,7,99,76,24,114.6,53.1,25.7,28.799999999999997
M,9,101,77,21,110.5,47.8,24.9,31.1
F,9,101,76,27,137.1,72.2,31.3,32.2
I,8,103,79,25,111.20000000000002,53.900000000000006,19.2,34
M,8,103,85,28.999999999999996,187.3,99.4,36.199999999999996,43.7
I,7,103,80,25,112.5,50,24.9,34
M,8,104,80,25,111.80000000000001,50.8,27.800000000000004,29.799999999999997
M,8,105,80,28.000000000000004,144.1,73.7,28.999999999999996,34.699999999999996
I,9,106,86,26,140.9,69.19999999999999,28.299999999999997,37.8
M,8,106,80,25,151.5,79.60000000000001,30.2,35
F,9,109.00000000000001,82,28.000000000000004,148.10000000000002,71.3,35.5,40.6
F,8,110.00000000000001,86,28.000000000000004,168,75,43.6,38.9
M,9,110.00000000000001,85,32,158.6,68.60000000000001,40.699999999999996,43
F,8,112.00000000000001,86,30,174.9,90.60000000000001,32.2,44
F,9,112.00000000000001,87,30,174.3,95.1,36.7,36.7
M,8,113.99999999999999,89,30,197.5,100.8,41.4,49.8
M,9,114.99999999999999,93,30,216,119,41.3,47.599999999999994
M,8,114.99999999999999,92,33,183.1,80.10000000000001,49.3,47.699999999999996
F,9,115.99999999999999,92,35,233,130,44.1,61.1
F,9,115.99999999999999,87,28.000000000000004,190.6,95,43.3,41.9
M,8,117,91,30,181.20000000000002,81.89999999999999,46,46.7
M,8,118,88,30,174.5,77.4,43,49
F,9,118,93,30,230.20000000000002,122.6,47.8,50.3
F,8,118,92,28.999999999999996,198.10000000000002,90.60000000000001,44.1,55.00000000000001
F,9,119,91,32,208,90.4,53.1,57.599999999999994
M,8,120,91,31,189,87.3,41.699999999999996,50
M,9,120,93,40,251.79999999999998,128.1,39.7,71.39999999999999
F,11,121,97,33,190.3,90.7,38.6,55.300000000000004
F,9,121,97,32,240.20000000000002,83.39999999999999,57.49999999999999,76
F,9,121,103,34,257.8,120,58.9,66.3
F,11,122,97,34,220.1,102.49999999999999,45.800000000000004,61
I,8,123,95,26,168.5,70.6,38.3,50.2
M,10,124,97,31,209.79999999999998,92.4,46.2,50
F,8,124,87,31,202.4,95.39999999999999,47.199999999999996,55.00000000000001
M,9,124,96,33,214.5,96.3,47,62.4
M,10,125,104,35,282.1,138.2,64.4,69.3
M,11,125,94,36,227.2,90.2,64.9,61
M,9,126,94,28.999999999999996,220.1,104,52,55.2
F,10,126,100,35,222.10000000000002,93.4,53.6,65.8
M,9,126,91,30,226.29999999999998,96.2,54.900000000000006,61
M,11,126,96,30,254.2,132.1,48.5,62
F,10,126,98,45,267.2,136.1,51.800000000000004,64.9
F,10,127,101,28.999999999999996,226.9,101,53.1,63
M,8,127,102,37,261.6,108.80000000000001,63.6,75.4
F,9,128,103,41,306.70000000000005,132.7,66.9,80.5
F,10,129,103,35,309.2,140.7,73,83
M,11,129,102,31,307.8,128.1,71.7,86
F,11,129,101,33,263.6,110.00000000000001,60.3,67
F,10,130,109.00000000000001,35,304.9,118,65.2,99
M,10,130,103,35,293.2,135.4,60.9,80
F,9,130,100,32,276.5,140.39999999999998,60.8,63.9
M,8,130,97,28.000000000000004,235,95,48.699999999999996,43
F,11,131,108,43,311.1,139,59.199999999999996,88.8
M,11,131,102,43,356.70000000000005,177.7,81.89999999999999,83.89999999999999
M,10,132,101,33,274.8,117.8,70.19999999999999,69
F,10,133,103,36,277.8,118.9,64.8,79
M,11,134,109.00000000000001,40,340.5,166.6,74.8,82
M,10,134,102,35,305.3,130.20000000000002,89.5,69
M,10,134,100,38,303.79999999999995,123.2,77.60000000000001,83
F,12,136,100,37,348.20000000000005,153.29999999999998,65.10000000000001,93.7
M,11,136,103,34,322.3,168.3,61.199999999999996,79
M,12,138,105,40,356.5,183.29999999999998,66.5,92.2
F,11,140,110.00000000000001,34,336.8,150.7,65.3,64
M,11,140,111.00000000000001,40,371.6,146,73.3,119
M,10,141,112.00000000000001,33,335,159.4,81.89999999999999,77.60000000000001
M,12,144,112.99999999999999,40,421.1,203.39999999999998,72.6,98.8
M,13,145,114.99999999999999,48,442,270.2,82.6,100.29999999999998
M,10,148,113.99999999999999,36,374.5,182.29999999999998,85.39999999999999,89.2
M,11,150,110.00000000000001,36,378.6,188.39999999999998,79.4,89
I,5,42,34,9,9.5,3.8,2.1999999999999997,2.6
I,5,56.99999999999999,42,11,20.200000000000003,8.3,3.4000000000000004,6.7
I,6,59,43,14.000000000000002,24.2,9.4,3.1,8.1
I,6,60,46,17,23.400000000000002,10,3.5000000000000004,8.3
I,6,61,45,18,29.299999999999997,12.6,6.800000000000001,8.3
I,5,67,51,16,33.6,15.8,7.1,10
I,5,70,52,15,36,18,4.9,11
I,6,71,54,15,35.5,15.8,6.3,10.8
I,7,71,52,18,39.7,14.299999999999999,9.9,11.600000000000001
I,8,72,54,19,40,14.6,11.200000000000001,12.2
I,7,72,55.00000000000001,15,44.1,19.7,8.799999999999999,13.200000000000001
I,7,72,53,15,36.9,16.6,7.3,11
I,7,73,54,17,44.5,18.7,10.5,13.200000000000001
I,6,74,54,19,43.5,19.400000000000002,9.2,13
I,7,75,56.00000000000001,16,43.3,18.7,18.5,14.000000000000002
I,7,76,56.99999999999999,19,48.6,17.9,13.3,15
I,6,76,57.99999999999999,20,47.4,21.6,7.9,16.400000000000002
